Timestamp,Left_Knee_Angle,Right_Knee_Angle,Leg_Separation_Angle
2025-11-26 12:53:37,164.76,170.2,46.57
2025-11-26 12:53:37,165.37,170.08,47.54
2025-11-26 12:53:37,166.17,170.86,48.18
2025-11-26 12:53:38,169.9,171.78,48.27
2025-11-26 12:53:38,171.59,172.21,48.43
2025-11-26 12:53:38,171.99,173.02,48.9
2025-11-26 12:53:38,172.14,173.47,48.97
2025-11-26 12:53:38,173.6,174.01,49.07
2025-11-26 12:53:38,173.32,174.19,49.03
2025-11-26 12:53:38,173.15,174.17,49.27
2025-11-26 12:53:38,172.8,174.38,48.98
2025-11-26 12:53:38,172.72,174.28,48.94
2025-11-26 12:53:38,171.89,174.28,49.43
2025-11-26 12:53:38,171.12,174.07,49.43
2025-11-26 12:53:38,172.9,175.08,50.53
2025-11-26 12:53:38,174.59,176.09,50.7
2025-11-26 12:53:38,175.29,176.21,50.81
2025-11-26 12:53:39,175.25,176.23,50.76
2025-11-26 12:53:39,175.07,176.15,50.83
2025-11-26 12:53:39,176.1,176.69,50.51
2025-11-26 12:53:39,177.2,177.13,50.55
2025-11-26 12:53:39,176.61,176.89,50.3
2025-11-26 12:53:39,176.05,176.54,50.11
2025-11-26 12:53:39,175.84,176.35,50.07
2025-11-26 12:53:39,175.23,176.21,49.97
2025-11-26 12:53:39,174.76,176.06,49.88
2025-11-26 12:53:39,173.73,175.94,49.97
2025-11-26 12:53:39,173.31,175.77,49.96
2025-11-26 12:53:39,171.33,174.67,49.52
2025-11-26 12:53:39,171.17,174.33,49.42
2025-11-26 12:53:39,170.86,173.4,48.79
2025-11-26 12:53:39,170.58,173.26,48.64
2025-11-26 12:53:40,170.03,173.27,48.66
2025-11-26 12:53:40,170.74,173.63,48.82
2025-11-26 12:53:40,172.21,174.13,49.17
2025-11-26 12:53:40,174.21,175.29,49.69
2025-11-26 12:53:40,174.95,176.58,46.54
2025-11-26 12:53:40,176.09,177.23,42.53
2025-11-26 12:53:40,176.71,178.12,40.09
2025-11-26 12:53:40,179.26,179.31,37.25
2025-11-26 12:53:40,178.69,178.74,39.09
2025-11-26 12:53:40,175.09,179.74,33.52
2025-11-26 12:53:40,175.05,178.65,31.41
2025-11-26 12:53:40,174.14,178.91,30.78
2025-11-26 12:53:40,176.72,179.47,30.71
2025-11-26 12:53:40,177.58,179.63,34.56
2025-11-26 12:53:40,178.69,179.16,36.27
2025-11-26 12:53:41,178.29,178.96,36.68
2025-11-26 12:53:41,178.19,178.73,36.7
2025-11-26 12:53:41,178.17,178.63,37.01
2025-11-26 12:53:41,178.61,178.68,36.98
2025-11-26 12:53:41,178.64,178.68,36.94
2025-11-26 12:53:41,178.62,178.6,37.15
2025-11-26 12:53:41,178.73,178.58,37.44
2025-11-26 12:53:41,179.17,178.62,37.49
2025-11-26 12:53:41,179.47,178.82,37.2
2025-11-26 12:53:41,179.84,178.94,37.27
2025-11-26 12:53:41,179.69,178.78,37.29
2025-11-26 12:53:41,179.71,178.84,37.11
2025-11-26 12:53:41,179.44,178.84,37.71
2025-11-26 12:53:41,179.45,178.96,37.71
2025-11-26 12:53:41,179.71,179.48,36.32
2025-11-26 12:53:42,179.72,179.31,35.55
2025-11-26 12:53:42,179.89,179.58,34.1
2025-11-26 12:53:42,179.81,179.87,33.73
2025-11-26 12:53:42,177.0,179.96,34.26
2025-11-26 12:53:42,176.48,179.79,34.76
2025-11-26 12:53:42,174.68,179.69,35.14
2025-11-26 12:53:42,173.38,178.36,35.29
2025-11-26 12:53:42,172.96,177.96,34.79
2025-11-26 12:53:42,176.21,178.86,37.05
2025-11-26 12:53:42,177.45,178.98,38.84
2025-11-26 12:53:42,178.67,179.43,39.93
2025-11-26 12:53:42,178.81,179.55,43.26
2025-11-26 12:53:42,178.03,179.3,44.63
2025-11-26 12:53:42,179.09,179.22,46.69
2025-11-26 12:53:43,179.08,178.68,47.51
2025-11-26 12:53:43,177.47,177.68,52.2
2025-11-26 12:53:43,175.61,176.89,52.69
2025-11-26 12:53:43,175.59,177.28,51.57
2025-11-26 12:53:43,175.98,177.62,51.41
2025-11-26 12:53:43,176.14,177.72,51.6
2025-11-26 12:53:43,173.41,176.63,50.73
2025-11-26 12:53:43,173.77,176.33,50.34
2025-11-26 12:53:43,174.02,176.42,50.16
2025-11-26 12:53:43,173.8,175.85,49.52
2025-11-26 12:53:43,173.55,175.97,49.12
2025-11-26 12:53:43,173.47,175.84,49.38
2025-11-26 12:53:43,173.07,175.74,49.48
2025-11-26 12:53:43,173.27,175.81,49.71
2025-11-26 12:53:44,173.78,175.97,49.68
2025-11-26 12:53:44,173.81,176.01,49.66
2025-11-26 12:53:44,174.61,176.27,50.2
2025-11-26 12:53:44,174.23,176.74,50.18
2025-11-26 12:53:44,174.65,177.2,50.04
2025-11-26 12:53:44,174.33,177.07,49.72
2025-11-26 12:53:44,174.38,177.28,49.45
2025-11-26 12:53:44,174.47,177.3,49.44
2025-11-26 12:53:44,174.46,177.07,49.43
2025-11-26 12:53:44,174.45,176.79,49.44
2025-11-26 12:53:44,175.0,176.93,49.41
2025-11-26 12:53:44,174.83,176.83,49.3
2025-11-26 12:53:44,174.89,176.86,49.31
2025-11-26 12:53:45,174.9,176.86,49.3
2025-11-26 12:53:45,175.31,177.01,49.3
2025-11-26 12:53:45,175.28,177.03,49.32
2025-11-26 12:53:45,175.3,177.02,49.25
2025-11-26 12:53:45,175.54,177.05,49.13
2025-11-26 12:53:45,175.34,177.19,48.9
2025-11-26 12:53:45,175.75,177.26,48.9
2025-11-26 12:53:45,175.51,177.04,48.87
2025-11-26 12:53:45,175.54,176.96,48.99
